OID_,sample_id,submission_id,bioinformatics_id,popmap_initial,popmap_adjusted,region,year,location,number,tag,adult_yoy,species,subregion,project,latitude,longitude,H1_coast_noncoast,H2_Aufeis_above_below_coast,H3_WShd_up_down_lower,CG_Family,Lngth_cm_x,Wt_g_x,Sex_x,Date_Caught,Otoliths_x,min_dist,max_dist,min_date,max_date,days_tracked,Freq,migrant_long_short,H3_JulyAug_Temp_Ave,H3_JulyAug_Temp_Med,H3_JulyAug_Temp_Min,H3_JulyAug_Temp_Max,H3_JulyAug_Temp_Var,H3_JulyAug_Temp_se,H3_JulyAug_Temp_n,Comments,RASTERVALU
17,2015_IMR2_002,P1B2,Golden1B02,IMR2,IMup,Colville,2015,IMR2,2.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.586770000000001,-149.722530000000006,noncoast,above,up,,,,,,,,,,,,,,9.29469086,9,2,16,7.116192372,0.069154807,1488,"Lat, Long estimated from 2015 IMR2 reach starting location.",687.6196899
18,2016-IMR3-011,P1B3,Golden1B03,IMR3,IMlow,Colville,2016,IMR3,11.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.621989999999997,-149.775049999999993,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,624.1405640
19,2016-LIMS-014,P1B4,Golden1B04,LIMS,IMlow,Colville,2016,LIMS,14.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.604910000000004,-149.734710000000007,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,"Whole Fish in ethanol, DNA, Otoliths",651.2384033
20,2017-Itk3-009,P1B5,Golden1B05,Itk3,Itk3,Colville,2017,Itk3,9.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.938540000000003,-150.131640000000004,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,364.8882446
21,2017-Itk4-009,P1B6,Golden1B06,Itk4,Itk4,Colville,2017,Itk4,9.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.453249999999997,-150.708310000000012,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,104.0703888
22,2017-Itk4-019,P1B7,Golden1B07,Itk4,Itk4,Colville,2017,Itk4,19.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.448769999999996,-150.714419999999990,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,104.8548965
23,2017-Itk4.5-007,P1B8,Golden1B08,Itk4.5,Itk4.5,Colville,2017,Itk4.5,7.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.935599999999994,-150.855790000000013,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,22.5485115
24,2016-KLAS5-015,P1B9,Golden1B09,KLAS5,KLAS5,Kuparuk,2016,KLAS5,15.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.964611000000005,-149.701186000000007,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",418.1027527
25,2016-BJANE-011,P1C1,Golden1C01,BJANE,IMlow,Colville,2016,BJANE,11.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.591939999999994,-149.725850000000008,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,679.2620850
26,2013-Kup2-09,P1C10,Golden1C10,Kup2,Kup2,Kuparuk,2013,Kup2,9.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.540656999999996,-149.283094000000006,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",863.3171997
27,2014-Kup2-17,P1C11,Golden1C11,Kup2,Kup2,Kuparuk,2014,Kup2,17.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.539591000000001,-149.281346000000013,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 2013's 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m.",862.8056030
28,2013-Kup6-15,P1C12,Golden1C12,Kup6,Kup6,Kuparuk,2013,Kup6,15.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,2013 - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
29,2015_IMR2_000,P1C2,Golden1C02,IMR2,IMup,Colville,2015,IMR2,0.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.586303000000001,-149.721571000000012,noncoast,above,up,,,,,,,,,,,,,,9.29469086,9,2,16,7.116192372,0.069154807,1488,"Lat, Long estimated: ~30 m upstream from 2015 IMR2 reach starting location.",688.1544800
30,2016-IMR3-013,P1C3,Golden1C03,IMR3,IMlow,Colville,2016,IMR3,13.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.622500000000002,-149.775939999999991,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,623.4159546
31,2016-LIMS-015,P1C4,Golden1C04,LIMS,IMlow,Colville,2016,LIMS,15.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.604453000000007,-149.734593999999987,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,"Lat, Long estimated: ~30 m upstream from 2016_LIMS_14 location.",651.2384033
32,2017-Itk3-010,P1C5,Golden1C05,Itk3,Itk3,Colville,2017,Itk3,10.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.940150000000003,-150.138550000000009,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,364.0373230
33,2017-Itk4-010,P1C6,Golden1C06,Itk4,Itk4,Colville,2017,Itk4,10.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.450260000000000,-150.714490000000012,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,106.1385803
34,2017-Itk4-020,P1C7,Golden1C07,Itk4,Itk4,Colville,2017,Itk4,20.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.453429999999997,-150.708040000000011,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,103.3136902
35,2017-Itk4.5-008,P1C8,Golden1C08,Itk4.5,Itk4.5,Colville,2017,Itk4.5,8.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.935069999999996,-150.852280000000007,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,22.1164207
36,2013-Kup2-01,P1C9,Golden1C09,Kup2,Kup2,Kuparuk,2013,Kup2,1.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.539485999999997,-149.281080000000003,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",864.9524536
37,2016-BJANE-012,P1D1,Golden1D01,BJANE,IMlow,Colville,2016,BJANE,12.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.591440000000006,-149.725339999999989,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,680.7852173
38,2013-Kup2-10,P1D10,Golden1D10,Kup2,Kup2,Kuparuk,2013,Kup2,10.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.540769999999995,-149.283598000000012,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",861.4567261
39,2014-Kup2-18,P1D11,Golden1D11,Kup2,Kup2,Kuparuk,2014,Kup2,18.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.539838000000003,-149.281524999999988,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 2013's 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m.",862.8056030
40,2013-Kup6-16,P1D12,Golden1D12,Kup6,Kup6,Kuparuk,2013,Kup6,16.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,2013 - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
41,2016-IMR3-001,P1D2,Golden1D02,IMR3,IMlow,Colville,2016,IMR3,1.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.623829999999998,-149.777710000000013,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,621.5475464
42,2016-LIMS-001,P1D3,Golden1D03,LIMS,IMlow,Colville,2016,LIMS,1.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.605760000000004,-149.737410000000011,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,650.9907837
43,2017-Itk3-001,P1D4,Golden1D04,Itk3,Itk3,Colville,2017,Itk3,1.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.938620000000000,-150.128359999999986,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,365.6178284
44,2017-Itk4-001,P1D5,Golden1D05,Itk4,Itk4,Colville,2017,Itk4,1.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.454020000000000,-150.713619999999992,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,102.9673843
45,2017-Itk4-012,P1D6,Golden1D06,Itk4,Itk4,Colville,2017,Itk4,12.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.452569999999994,-150.706670000000003,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,103.5618134
46,2017-Itk4-021,P1D7,Golden1D07,Itk4,Itk4,Colville,2017,Itk4,21.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.450699999999998,-150.713150000000013,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,103.3652267
47,2017-Itk4.5-009,P1D8,Golden1D08,Itk4.5,Itk4.5,Colville,2017,Itk4.5,9.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.934780000000003,-150.858170000000001,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,22.4825115
48,2013-Kup2-02,P1D9,Golden1D09,Kup2,Kup2,Kuparuk,2013,Kup2,2.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.539261999999994,-149.280721999999997,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",864.7548828
49,2016-BJANE-013,P1E1,Golden1E01,BJANE,IMlow,Colville,2016,BJANE,13.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.593140000000005,-149.731410000000011,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,675.5315552
50,2013-Kup2-11,P1E10,Golden1E10,Kup2,Kup2,Kuparuk,2013,Kup2,11.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.540959999999998,-149.284189999999995,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",861.8795166
51,2013-Kup6-03,P1E11,Golden1E11,Kup6,Kup6,Kuparuk,2013,Kup6,3.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,2013 - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
52,2014-Kup6-18,P1E12,Golden1E12,Kup6,Kup6,Kuparuk,2014,Kup6,18.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,Probably from 2013 (NOT 2014) - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
53,2016-IMR3-004,P1E2,Golden1E02,IMR3,IMlow,Colville,2016,IMR3,4.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.623620000000003,-149.776430000000005,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,622.2679443
54,2016-LIMS-003,P1E3,Golden1E03,LIMS,IMlow,Colville,2016,LIMS,3.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.606229999999996,-149.738110000000006,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,648.8333740
55,2017-Itk3-002,P1E4,Golden1E04,Itk3,Itk3,Colville,2017,Itk3,2.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.938999999999993,-150.129729999999995,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,364.8362122
56,2017-Itk4-002,P1E5,Golden1E05,Itk4,Itk4,Colville,2017,Itk4,2.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.454390000000004,-150.714049999999986,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,103.3933716
57,2017-Itk4-013,P1E6,Golden1E06,Itk4,Itk4,Colville,2017,Itk4,13.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.451300000000003,-150.712549999999993,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,104.1614685
58,2017-Itk4-023,P1E7,Golden1E07,Itk4,Itk4,Colville,2017,Itk4,23.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.452060000000003,-150.712230000000005,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,103.3412247
59,2016-KLAS5-004,P1E8,Golden1E08,KLAS5,KLAS5,Kuparuk,2016,KLAS5,4.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.965339999999998,-149.701330000000013,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,,417.3017273
60,2013-Kup2-03,P1E9,Golden1E09,Kup2,Kup2,Kuparuk,2013,Kup2,3.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.539473999999998,-149.281148999999999,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",862.8056030
61,2015-IMR1-001,P1F1,Golden1F01,IMR1,IMup,Colville,2015,IMR1,1.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.563894000000005,-149.650938999999994,noncoast,above,up,,,,,,,,,,,,,,9.29469086,9,2,16,7.116192372,0.069154807,1488,"Lat, Long estimated from 2015 IMR1 reach starting location.",758.7904663
62,2013-Kup2-12,P1F10,Golden1F10,Kup2,Kup2,Kuparuk,2013,Kup2,12.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.541148000000007,-149.284798999999992,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",865.2919312
63,2013-Kup6-05,P1F11,Golden1F11,Kup6,Kup6,Kuparuk,2013,Kup6,5.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,2013 - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
64,2014-Kup6-19,P1F12,Golden1F12,Kup6,Kup6,Kuparuk,2014,Kup6,19.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,Probably from 2013 (NOT 2014) - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
65,2016-IMR3-005,P1F2,Golden1F02,IMR3,IMlow,Colville,2016,IMR3,5.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.623019999999997,-149.776549999999986,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,623.2983398
66,2016-LIMS-005,P1F3,Golden1F03,LIMS,IMlow,Colville,2016,LIMS,5.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.607540000000000,-149.737950000000012,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,646.3632202
67,2017-Itk3-003,P1F4,Golden1F04,Itk3,Itk3,Colville,2017,Itk3,3.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.938850000000002,-150.134019999999992,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,366.1342773
68,2017-Itk4-004,P1F5,Golden1F05,Itk4,Itk4,Colville,2017,Itk4,4.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.454719999999995,-150.714740000000006,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,102.6819000
69,2017-Itk4-014,P1F6,Golden1F06,Itk4,Itk4,Colville,2017,Itk4,14.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.452740000000006,-150.705379999999991,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,104.6738663
70,2017-Itk4.5-002,P1F7,Golden1F07,Itk4.5,Itk4.5,Colville,2017,Itk4.5,2.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.935350000000000,-150.855989999999991,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,22.5388317
71,2016-KLAS5-005,P1F8,Golden1F08,KLAS5,KLAS5,Kuparuk,2016,KLAS5,5.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.965450000000004,-149.702018000000010,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,"Lat, Long estimated: ~30 m downstream from 2016_KLAS5_04 location.",417.3706665
72,2013-Kup2-04,P1F9,Golden1F09,Kup2,Kup2,Kuparuk,2013,Kup2,4.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.539666999999994,-149.281601999999992,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",862.8056030
73,2016-IMR1-001,P1G1,Golden1G01,IMR1,IMup,Colville,2016,IMR1,1.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.563509999999994,-149.647860000000009,noncoast,above,up,,,,,,,,,,,,,,9.29469086,9,2,16,7.116192372,0.069154807,1488,,759.0917969
74,2013-Kup2-13,P1G10,Golden1G10,Kup2,Kup2,Kuparuk,2013,Kup2,13.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.541287999999994,-149.285374999999988,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",861.8947754
75,2013-Kup6-06,P1G11,Golden1G11,Kup6,Kup6,Kuparuk,2013,Kup6,6.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,2013 - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
76,2014-Kup6-20,P1G12,Golden1G12,Kup6,Kup6,Kuparuk,2014,Kup6,20.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,Probably from 2013 (NOT 2014) - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
